,1.0yr,2.0yr,3.0yr,4.0yr,5.0yr
1.0yr,0.00024780549702628447,1.0529803503977997e-05,-3.1921101314048095e-05,1.7731010225830152e-05,-3.5445618024597445e-05
2.0yr,1.0529803503977997e-05,3.305491891288688e-05,-4.793860920042939e-06,7.297162920195194e-06,2.0989937437508824e-06
3.0yr,-3.1921101314048095e-05,-4.793860920042939e-06,2.703404869931033e-05,-9.025137595504705e-06,-4.403755773330269e-06
4.0yr,1.7731010225830152e-05,7.297162920195194e-06,-9.025137595504705e-06,3.182739543717179e-05,4.721647730037264e-06
5.0yr,-3.5445618024597445e-05,2.0989937437508824e-06,-4.403755773330269e-06,4.721647730037264e-06,1.584446900827536e-05
